Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,none
ILD Queens,18:00:00,Magnetic | Illit Part 2,Winnie Chung,none
ILD Queens,19:30:00,Midas Touch | Kiss Of Life Part 2,Eunice Shin,none
