Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Deja Vu | Txt Part 2,Regina Lustre,none
ILD NJ,19:30:00,Magnetic | Illit Part 2,Regina Lustre,none
ILD NJ,19:30:00,Smoothie | Nct Dream Part 2,Ness Martinez,none
