Studio,Start time,Classes,Link,Instructor
Gramercy Studios,5:30pm,Open Level Twerk ,unavailable, Justin
Gramercy Studios,7pm,collab class open level reggaeton ,unavailable, Kizzy and Charles
Gramercy Studios,8:30pm,open level heels ,unavailable, Kim
