Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=4062&classDate=11/28/2023&clsLoc=1,Online: Afro-Fusion,Tamara Jones,1 hour &30 minutes
Cumbe Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=3998&classDate=11/29/2023&clsLoc=1,Online: Afro-Brazilian and Samba [All Levels],Quenia Ribeiro,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=4131&classDate=11/30/2023&clsLoc=1,Online: ASA! with Dianne [All Levels],Dianne Adkins-Forte,1 hour &15 minutes
Cumbe Dance Center,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=4159&classDate=12/1/2023&clsLoc=1,Online: RabòdayFit [All Levels],Robenson Mathurin,1 hour &15 minutes
Cumbe Dance Center,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=4010&classDate=12/2/2023&clsLoc=1,Online: JamDown: Caribbean Dance Fitness [All Levels],JennyJam Fitness,1 hour &15 minutes
Cumbe Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=4127&classDate=12/3/2023&clsLoc=1,Online: Belly Dancing [All Levels],Jaida,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=3992&classDate=11/29/2023&clsLoc=1,Online: IDTC Dunham Technique II [Int/Adv Level],Penny Godboldo,1 hour &30 minutes
Cumbe Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=68&classId=4016&classDate=12/3/2023&clsLoc=1,Online: West African Guinean Dance [Beg Level],Darian Parker,1 hour &30 minutes
