Studio,Time,Classes,Instructor,Sign up,Date,Style
SassClass,12:15:00,Fierce Feminine Hip-Hop,Mary,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=611&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Steps,12:15:00,Int/Adv Contemp,"White, Jamal Kamau",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087901&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Ballet Arts,12:30:00,Int Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2219&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,12:30:00,Adv/Beg Tap,Galganni,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085645&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
PJM,12:30:00,Open Kpop,Joy,none,2023-09-24,Additional Disciplines
Steps,12:45:00,Int Theater Jazz,Resavy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087055&classDate=9/24/2023&clsLoc=1,2023-09-24,Theater
Steps,12:45:00,Beg/Int Ballet,Cave,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084380&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Ailey,13:00:00,Abs Beg Hip-Hop,Aaron Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824575&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
PMT,13:00:00,Beg Contemp,Kaitlyn Dee Snyder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3518&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Peridance,13:00:00,Int Contemp Jazz,Julia Kane,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6760&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Peridance,13:00:00,Adv Contemp,Marijke Eliasberg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6761&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BAE,13:00:00,Basic Beg Ballet,Sean Kelly,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7951&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Ailey,13:00:00,Modern Afro-Cuban,Noibis Licea,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824622&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BAE,13:00:00,Pointe Class,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7922&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,13:00:00,Beg Jazz,Gerson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087051&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
Peridance,13:00:00,Int Ballet,Ronald Alexander,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6778&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,13:00:00,Beg Hip Hop,"Mitchell, A.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087226&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
SassClass,13:10:00,Sexy Stilettos,Breanna (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=717&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
BDC,13:30:00,Adv Beg Tap,Doug Shankman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18222&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
BDC,13:30:00,Beg Street Jazz,Carlos Neto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18219&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Ailey,13:30:00,Beg Horton,Linda Celeste Sims,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824608&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BDC,13:30:00,Beg Jazz,Heather Rigg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18096&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
Cumbe,13:30:00,Dunham Jazz Informed Technique All Levels,Candice Michelle Franklin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4060&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BAE,13:30:00,Beg Ballet,Lorna Zawacki,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7962&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
