Studio,Start time,Sign up,Classes,Instructor
Modega,5:30 PM EDT • (60 min),https://sutrapro.com/modega/checkout/pfYz4RPORAFmLhdzSIM8,Strength and Flexibility (Bella Body Technique),Sofia Mahdavi
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/yPYQNMNgHAAbodKnyJDE,Adv. Beginner/Int. Choreography,Unique Clay
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/xc6buQ8poSWNlOcdsymK,All Levels Waacking,Zenta
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/GGNj485FMJXNmsY0NVHQ,Intermediate House,Huu Rock
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/qzHfNWEPIdRUt6WUcw9l,Beg./Adv. Beg. Choreography,Edson Maldonado
Modega,9:30 PM EDT • (120 min),https://sutrapro.com/modega/checkout/GYTNvWMFCT95NpcZCBXO,"Open ""Modega"" Session",Huu Rock
