Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am EST,none,Virtual 90 Int Ballet,Michelle Cave,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EST,none,Virtual 90 Int/Adv Pro Ballet,Heather Hawk,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,none,Virtual 90 Adv Pro Ballet,Maxim Beloserkovsky,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:30 am EST,none,Virtual 90 Rommett Floor Barre,Cancelled Today,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,none,Virtual 90 Adv/Beg Ballet,Temple Kemezis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,none,Virtual 90 Adv Pro Ballet,Nancy Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,none,Virtual 90 Int Ballet,Noriko Hara,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088744&classDate=2/13/2024&clsLoc=1,Virtual 90 Int/Adv Ballet,Elisa Clark,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085313&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Espen Giljane,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083050&classDate=2/13/2024&clsLoc=1,Virtual 90 Beg/Int Ballet,Heather Hawk,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088538&classDate=2/13/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary Ballet,Jourdan Epstein,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:30 pm EST,none,Virtual 90 Int Contemporary,Elisabetta Minutoli,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088738&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Int Contemporary,Ida Saki,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088279&classDate=2/13/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary,Jordan Lombardi,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,none,Virtual 90 Adv/Int Jazz Fusion,Chris Jarosz (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088074&classDate=2/13/2024&clsLoc=1,Virtual 90 Int Jazz Across the Floor,Cori Jo Swanson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084788&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Int Jazz,Debbie Roshe,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088623&classDate=2/13/2024&clsLoc=1,Virtual 90 Int Jazz,Matthew Lynady,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088622&classDate=2/13/2024&clsLoc=1,Virtual 90 Beg/Int Commercial Jazz,Daniel Gold,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088746&classDate=2/13/2024&clsLoc=1,Virtual Spotlight: Int/Adv Lyrical Jazz,Gianna Martello,Steps on Broadway,2 hours
Steps on Broadway,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083820&classDate=2/13/2024&clsLoc=1,Virtual 90 Open Street Styles,TBA (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088601&classDate=2/13/2024&clsLoc=1,Virtual 90 Open Heels,Courtney Sauls,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147083133&classDate=2/13/2024&clsLoc=1,Virtual 60 Pilates Mat,Diarra Cummings,Steps on Broadway,1 hour
Steps on Broadway,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147084480&classDate=2/13/2024&clsLoc=1,Virtual 60 Cardio Dance,Ashleigh,Steps on Broadway,1 hour
Steps on Broadway,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147087339&classDate=2/13/2024&clsLoc=1,Virtual 60 Adv/Beg Swing,Spencer Weisbond,Steps on Broadway,1 hour
Steps on Broadway,11:00 am EST,none,Virtual 90 Adv/Beg Broadway Tap,Andrew Black,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,none,Virtual 90 Int Tap,Christina Carminucci,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,none,Virtual 90 Beg Broadway Tap,Andrew Black,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083919&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Beg Tap,Alexander MacDonald,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082996&classDate=2/13/2024&clsLoc=1,Virtual 90 Int Tap,Alexander MacDonald,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085049&classDate=2/13/2024&clsLoc=1,Virtual 90 Beg Broadway Tap,Andrew Winans,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082371&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv Tap,Christina Carminucci,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,none,Virtual 90 Adv/Beg Theater Jazz,Rachel Leigh Dolan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,none,Virtual 90 Int Classic Theater Jazz,Dana Moore,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:15 pm EST,none,Virtual 90 Adv Theater Dance,Shannon Lewis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084662&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Beau Harmon (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087816&classDate=2/13/2024&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,Lisa Biagini,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EST,none,Virtual 90 Open Afro Brazilian,Cancelled Today,Steps on Broadway,1 hour &30 minutes
