Studio,Start time,,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,10:00 am EST,none,Advanced Ballet,Cancelled Today,none,Ai *Isshiki,2 hours
Mark Morris Dance,12:00 pm EST,none,Beginner Modern,Cancelled Today,none,Marina *Makarova,1 hour &30 minutes
Mark Morris Dance,1:00 pm EST,none,Movement for Older Bodies: Open Level Move & Flow,Cancelled Today,none,Howard *Britz,1 hour
Mark Morris Dance,6:00 pm EST,none,Senegalese Dance,Cancelled Today,none,none,1 hour &30 minutes
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4970&classDate=2/13/2024&clsLoc=1,Intermediate Modern,Andrea *Murillo (Mask Optional),none,Andreas *Brade,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=132&classId=5549&classDate=2/13/2024&clsLoc=1,Beginner Haitian,Véronëque *Ignace (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4929&classDate=2/13/2024&clsLoc=1,Intermediate Ballet,Ashley Tuttle (Masks Optional),none,Dmitry *Polischuk,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5526&classDate=2/13/2024&clsLoc=1,Beginner Jazz,Kristina *Bermudez (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,none,Open Level House,Cancelled Today,none,none,1 hour &30 minutes
