Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,none
ILD Queens,18:00:00,Drama | Aespa Part 3,Eunice Shin,none
ILD Queens,19:30:00,Lalalala | Stray Kids Part 3,Fernando Farias,none
