Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8215&classDate=8/23/2023&clsLoc=1,In-StudioNJ: In Bloom | ZB1 (Part 4),Ness Martinez,Fort Lee Studio 2,1 hour & 20 minutes
ILoveDance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8206&classDate=8/23/2023&clsLoc=1,In-StudioNJ: Super Shy | NewJeans (Part 4),Min Seon Kim,Fort Lee Studio 1,1 hour & 20 minutes
