Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082316&classDate=8/28/2023&clsLoc=1,Virtual 90 Beg Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082322&classDate=8/28/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085127&classDate=8/28/2023&clsLoc=1,Virtual 90 Int Tap,Wasiuta (8),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082386&classDate=8/28/2023&clsLoc=1,Virtual 90 Basic Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084896&classDate=8/28/2023&clsLoc=1,Virtual 90 Int Broadway Tap,Winans (9),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085055&classDate=8/28/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,Wasiuta,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086237&classDate=8/28/2023&clsLoc=1,Virtual 90 Beg Theater Jazz,Lobel (10),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082319&classDate=8/28/2023&clsLoc=1,Virtual 90 Int Theater Dance,Culbreath,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085705&classDate=8/28/2023&clsLoc=1,Virtual 90 Int/Adv Theater Jazz,McIntyre (11),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086140&classDate=8/28/2023&clsLoc=1,Virtual 90 Int/Adv Theater Jazz,"Ortiz, C. (12)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084592&classDate=8/28/2023&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,Zajac (13),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085309&classDate=8/28/2023&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Krouse (14),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085668&classDate=8/28/2023&clsLoc=1,Virtual 90 Open Afro'Dance,Nixon (15),Steps on Broadway,1 hour & 30 minutes
