Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18769&classDate=1/30/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18904&classDate=1/30/2024&clsLoc=1,IN-PERSON: Basic THEATER with Melodye Redding,Melodye Redding,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,Ed Dept Swing/Dance Captain,ProSem Master,CTP,2 hours
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18289&classDate=1/30/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Dre Torres,Dre Torres,Studio B,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18777&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg BALLET with Jamie Salmon,Erica Ratkovicz (1),Studio A,1 hour &30 minutes
Broadway Dance Center,10:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18773&classDate=1/30/2024&clsLoc=1,IN-PERSON: All Levels LASTICS STRETCH TECHNIQUE with Donna Flagg,Donna Flagg,Studio 2,1 hour &15 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18788&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Studio 2,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18220&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg TAP with Doug Shankman,Doug Shankman,Studio B,1 hour &30 minutes
Broadway Dance Center,12:30 pm EST,none,Ed Dept Pilates,ProSem Master,CTP,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18711&classDate=1/30/2024&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18757&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18202&classDate=1/30/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with April Cook,April Cook,Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18822&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg THEATER with Marjorie Failoni,Marjorie Failoni,Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18796&classDate=1/30/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Michaela McGowan,Elodie Dufroux (4),Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18883&classDate=1/30/2024&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Neil Schwartz,Youlmae Kim (5),Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18178&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg TAP with Brent McBeth,Brent McBeth,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18117&classDate=1/30/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Ray Hesselink,Ray Hesselink,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18668&classDate=1/30/2024&clsLoc=1,IN-PERSON: Beg THEATER with Josh Walden,Josh Walden,Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18877&classDate=1/30/2024&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with David Thomas,David Thomas,Studio 3,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18813&classDate=1/30/2024&clsLoc=1,IN-PERSON: All Levels AFRO DANCE CLASS with Judith McCarty,Judith McCarty,Studio 2,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19088&classDate=1/30/2024&clsLoc=1,IN-PERSON: Int Adv JAZZ with Aspen Waddell,Aspen Waddell,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,none,IN-PERSON: Adv Beg CONTEMPORARY with Alex Mitchell,Canceled Today,none,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18847&classDate=1/30/2024&clsLoc=1,IN-PERSON: All Levels CABARET BURLESQUE with Nathalie Marrable,Abby Herschman (7),Studio 3,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18916&classDate=1/30/2024&clsLoc=1,"IN-PERSON: All Levels REGGAETON with Jonathan ""Shwing"" Pena","Jonathan ""Shwing"" Pena",Studio A,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18898&classDate=1/30/2024&clsLoc=1,IN-PERSON: Basic CONTEMPORARY with Lorena Cobos,Lorena Cobos,Studio 3,1 hour &30 minutes
