Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18673&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Ashley Lynne King,Ashley Lynne King,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18728&classDate=4/22/2024&clsLoc=1,IN-PERSON: All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18665&classDate=4/22/2024&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,June Chin (1),Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19214&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Blue,Blue,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18103&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19280&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with AntBoogie,AntBoogie,Studio 5,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18112&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Jill Kenney,Jill Kenney,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19451&classDate=4/22/2024&clsLoc=1,IN-PERSON: Basic BALLET with Erica Ratkovicz,Erica Ratkovicz,Studio 4,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18177&classDate=4/22/2024&clsLoc=1,IN-PERSON: Basic TAP with Brent McBeth,Brent McBeth,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18690&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int THEATER with Lizz Picini,Josh Walden (2),Studio 1,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19220&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Bo Belza,Bo Belza,Studio 5,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19226&classDate=4/22/2024&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio 4,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18703&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int Adv JAZZ with Debbie Roshe,Debbie Roshe,Studio A,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19224&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg TURNS AND TECHNIQUE with Ali Koinoglou,Ali Koinoglou,Studio 4,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19332&classDate=4/22/2024&clsLoc=1,IN-PERSON: Beg STREET STYLES with J Lyn,J Lyn,Studio 2,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18118&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int TAP with Ray Hesselink,Ray Hesselink,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19278&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Elyn Collier,Tanner Lane (3),Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19166&classDate=4/22/2024&clsLoc=1,IN-PERSON: Beg COMMERCIAL JAZZ with Debbie Wilson,Heather Rigg (4),Studio 1,1 hour &30 minutes
Broadway Dance Center,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19315&classDate=4/22/2024&clsLoc=1,IN-PERSON: All Levels BURLESQUE JAZZ with Tony Guerrero,Tony Guerrero,Studio 1,1 hour &30 minutes
Broadway Dance Center,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18753&classDate=4/22/2024&clsLoc=1,IN-PERSON: Beg STREET JAZZ with Elodie Dufroux,Elodie Dufroux,Studio 2,1 hour &30 minutes
Broadway Dance Center,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19545&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int Adv THEATER JAZZ with Marc Kimelman,Marc Kimelman,Studio 5,1 hour &30 minutes
Broadway Dance Center,9:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18886&classDate=4/22/2024&clsLoc=1,IN-PERSON: Adv STREET STYLES with Jay Mills,James Alonzo (7),Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18247&classDate=4/22/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY FUSION with Camryn Brothers,Camryn Brothers,Studio A,1 hour &30 minutes
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19222&classDate=4/22/2024&clsLoc=1,IN-PERSON: Basic HIP-HOP with TweetBoogie,Tweetboogie,Studio 5,1 hour &30 minutes
