Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825999&classDate=4/22/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander (1),Studio 1C,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146827387&classDate=4/22/2024&clsLoc=1,IN-STUDIO Romana’s Pilates,LifeSpan Pilates,Studio 2B,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826001&classDate=4/22/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5C,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826006&classDate=4/22/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825997&classDate=4/22/2024&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5B,1 hour
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826003&classDate=4/22/2024&clsLoc=1,IN-STUDIO Hip Hop Cardio,Aaron Thomas (2),Studio 5D,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826000&classDate=4/22/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826002&classDate=4/22/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825996&classDate=4/22/2024&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826005&classDate=4/22/2024&clsLoc=1,IN-STUDIO New Way Vogue,Rinor Zymberi,Studio 5D,1 hour &30 minutes
