Studio,Start time,,Classes,Teacher,Duration
PMT House of Dance,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3575&classDate=4/22/2024&clsLoc=1,IN PERSON: Open Level Floorwork,Mack Pereira,1 hour &30 minutes
PMT House of Dance,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3373&classDate=4/22/2024&clsLoc=1,IN PERSON: Basic/Beginner House,Marianna Koytsan,1 hour &30 minutes
PMT House of Dance,6:00 pm EDT,none,IN PERSON: Latin MYXX,Cancelled Today,1 hour &30 minutes
PMT House of Dance,7:35 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3375&classDate=4/22/2024&clsLoc=1,IN PERSON: Adv. Beg./Int. Street Jazz,Mini Zhang,1 hour &30 minutes
PMT House of Dance,7:35 pm EDT,none,IN PERSON: Advanced Heel Intensive Vogue,Cancelled Today,1 hour &30 minutes
PMT House of Dance,9:10 pm EDT,none,IN PERSON: Breakin'101 - For Beginners,Cancelled Today,1 hour &30 minutes
PMT House of Dance,9:10 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3572&classDate=4/22/2024&clsLoc=1,IN PERSON: Intermediate Choreography,Tay Gresham (1),1 hour &30 minutes
