Studio,Start time,,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7913&classDate=1/6/2024&clsLoc=1,LIVE-STREAM Mat Pilates Class,Courtney Conner,none,none,1 hour
Ballet Academy East,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7988&classDate=1/6/2024&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
