Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086057&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Beg Ballet,"Sims, L.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082908&classDate=1/6/2024&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,"Kaufman, L. (1)",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082424&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv Pro Ballet,Beloserkovsky,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084723&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Saund,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085034&classDate=1/6/2024&clsLoc=1,Virtual 90 Rommett Floor Barre,Wesley,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084650&classDate=1/6/2024&clsLoc=1,Virtual 90 Beg Ballet,Kemezis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084805&classDate=1/6/2024&clsLoc=1,Virtual 90 Int Ballet,Gelinas,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088463&classDate=1/6/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary,Guy,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082427&classDate=1/6/2024&clsLoc=1,Virtual 90 Beg Jazz,Spinelli (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088492&classDate=1/6/2024&clsLoc=1,Virtual 90 Int/Adv Jazz,O'Neal,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088148&classDate=1/6/2024&clsLoc=1,Virtual 90 Int Jazz,Plu Sayampol (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084763&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Beg Modern/Horton,Maffei,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088486&classDate=1/6/2024&clsLoc=1,Virtual Spotlight: Adv/Int Jazz,Meahl,Steps on Broadway,2 hours
Steps on Broadway,5:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082548&classDate=1/6/2024&clsLoc=1,Virtual 90 Beg Hip Hop,"Mitchell, A. (4)",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147085150&classDate=1/6/2024&clsLoc=1,Virtual 60 Pilates Mat,Cummings,Steps on Broadway,1 hour
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082425&classDate=1/6/2024&clsLoc=1,Virtual 90 Int Tap,Kameda (5),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087290&classDate=1/6/2024&clsLoc=1,Virtual 90 Basic Tap,Ohr,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087283&classDate=1/6/2024&clsLoc=1,Virtual 90 Beg Tap,Ikegaya,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088322&classDate=1/6/2024&clsLoc=1,Virtual 90 Int/Adv Tap,Wockenfuss,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084801&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Beg Tap,MacDonald,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084800&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Int Tap,MacDonald,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084950&classDate=1/6/2024&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Leggio,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085047&classDate=1/6/2024&clsLoc=1,Virtual 90 Int Theater Jazz,Winans,Steps on Broadway,1 hour &30 minutes
