Studio,Start time,Classes,Instructor,Length
PJM LIC,5:00 pm,Open Heels,Saki,1 hr 30 min
PJM LIC,6:30 pm,Beg Jazz Funk,Peter Chow,1 hr 30 min
PJM LIC,8:00 pm,Beg Hip Hop,Mini Zhang,1 hr 30 min
PJM LIC,9:30 pm,Open Kpop,Joy,1 hr 30 min
