Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am EST,none,Virtual 90 Beg Ballet,Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EST,none,Virtual 90 Int/Adv Pro Ballet,Fairchild (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,none,Virtual 90 Adv/Int Ballet,Loh (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:30 am EST,none,Virtual 90 Rommett Floor Barre,Moccia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:45 am EST,none,Virtual 90 Adv/Beg Ballet,Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,none,Virtual 90 Adv Pro Ballet,Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087878&classDate=11/27/2023&clsLoc=1,Virtual 90 Int Ballet,Froman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085311&classDate=11/27/2023&clsLoc=1,Virtual 90 Adv/Int Ballet,Giljane,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,none,Virtual 90 Int/Adv Contemporary,Stone,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088027&classDate=11/27/2023&clsLoc=1,Virtual 90 Int Contemporary Jazz,Burkhardt (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:15 am EST,none,Virtual 90 Adv/Beg Jazz,Pollin,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083041&classDate=11/27/2023&clsLoc=1,Virtual 90 Int Jazz,Lobel (4),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,none,Virtual 90 Adv/Beg Latin Fusion,Cancelled Today,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084643&classDate=11/27/2023&clsLoc=1,Virtual 90 Int Jazz,"Lee, A.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087130&classDate=11/27/2023&clsLoc=1,Virtual 90 Adv/Int Jazz,Harvie,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082333&classDate=11/27/2023&clsLoc=1,Virtual 90 Adv/Beg Jazz,"Sayampol, Plu",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084793&classDate=11/27/2023&clsLoc=1,Virtual 90 Int/Adv Commercial Jazz,"Williams, Jason",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087438&classDate=11/27/2023&clsLoc=1,Virtual 90 Basic Graham Based Modern,Poulis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088263&classDate=11/27/2023&clsLoc=1,Virtual Spotlight: Adv/Int Contemporary,Saki,Steps on Broadway,2 hours
Steps on Broadway,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084886&classDate=11/27/2023&clsLoc=1,Virtual 90 Open Hip Hop,Greene,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:15 am EST,none,Virtual 60 Gyrokinesis,Thiesing,Steps on Broadway,1 hour
Steps on Broadway,10:00 am EST,none,Virtual 60 Ballet Workout,Stephan,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm EST,none,Virtual 60 Pilates Mat,Shapiro (5),Steps on Broadway,1 hour
Steps on Broadway,1:30 pm EST,none,Virtual 60 Lastics Stretch,Cancelled Today,Steps on Broadway,1 hour
Steps on Broadway,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147087981&classDate=11/27/2023&clsLoc=1,Virtual 60 Open Level Yoga,Conway,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm EST,none,Virtual 90 Beg Tap,Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087873&classDate=11/27/2023&clsLoc=1,Virtual 90 Basic Tap,Burtis,Steps on Broadway,1 hour &30 minutes
