Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,IN-STUDIO Beginner Ballet,Cancelled Today,none,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826168&classDate=2/15/2024&clsLoc=1,IN-STUDIO Pilates Fusion,Diarra Cummings,Studio 2A,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826127&classDate=2/15/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Yancy Greene,Studio 5A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826160&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 1A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826146&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Heels,Courtney Sauls,Studio LLC,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826155&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Horton,Terri Wright,Studio 2B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826138&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826172&classDate=2/15/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826140&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Broadway Dance,Matthew Johnson Harris,Studio LLA,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826142&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Michael Thomas (1),Studio 2A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826151&classDate=2/15/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826596&classDate=2/15/2024&clsLoc=1,IN-STUDIO Adv Beg Vogue Fem,Luz Theodyssey,Studio 5C,1 hour &30 minutes
