Studio,Time,Classes,Instructor,Sign up,Date,Style
Steps,09:00:00,Open Level Yoga,Conway,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087982&classDate=10/20/2023&clsLoc=1,2023-10-20,Additional Disciplines
Mark Morris,09:00:00,Open Level Pilates,Ellie *Kusner,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5536&classDate=10/20/2023&clsLoc=1,2023-10-20,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7980&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
BDC,09:00:00,Adv Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18329&classDate=10/20/2023&clsLoc=1,2023-10-20,Street/Choreography
BDC,09:15:00,Stretch & Strengthen,Alyssa Click,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18212&classDate=10/20/2023&clsLoc=1,2023-10-20,Additional Disciplines
Steps,09:30:00,Beg Ballet,Kemezis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086214&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2375&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Lawrence (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087010&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Mark Morris,10:00:00,Adv Ballet,Elisa Clark  (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Steps,10:00:00,Adv/Int Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087011&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Gibney,10:00:00,Contemp,Thryn Saxon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12883&classDate=10/20/2023&clsLoc=1,2023-10-20,Contemporary/Modern
BAE,10:00:00,Intro To Ballet,Marsha Knight,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7934&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Gibney,10:00:00,Gaga/People At 280,Zina Zinchenko,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12676&classDate=10/20/2023&clsLoc=1,2023-10-20,Contemporary/Modern
Taylor School,10:00:00,Master Class Series,Jake Vincent,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3619&classDate=10/20/2023&clsLoc=1,2023-10-20,Street/Choreography
Gibney,10:00:00,Ballet,Nina Goldman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12894&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Peridance,10:00:00,Int Contemp,Guanglei Hui,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6750&classDate=10/20/2023&clsLoc=1,2023-10-20,Contemporary/Modern
Gibney,10:00:00,Klein Technique Dance/Movement Class At 280,Barbara Mahler,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12612&classDate=10/20/2023&clsLoc=1,2023-10-20,Additional Disciplines
Peridance,10:00:00,Adv Ballet,Igal Perry,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
BAE,10:00:00,Mat Pilates Class,Ashley Carter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7906&classDate=10/20/2023&clsLoc=1,2023-10-20,Additional Disciplines
Steps,10:00:00,Ballet Workout,Stephan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087023&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Cori Kresge *Cunningham  (12),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=10/20/2023&clsLoc=1,2023-10-20,Contemporary/Modern
BDC,10:30:00,Basic Theater,Morgan Rose,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18151&classDate=10/20/2023&clsLoc=1,2023-10-20,Theater
BDC,10:30:00,Beg Hip-Hop,Canceled Today,none,2023-10-20,Street/Choreography
BDC,10:30:00,Beg Ballet,Michele Moreno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18124&classDate=10/20/2023&clsLoc=1,2023-10-20,Ballet
BDC,10:30:00,Adv Beg Tap,Madison Hilligoss,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18377&classDate=10/20/2023&clsLoc=1,2023-10-20,Tap
BDC,10:30:00,Basic Contemp,Elodie Dufroux (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18264&classDate=10/20/2023&clsLoc=1,2023-10-20,Contemporary/Modern
