Studio,Start time,Sign up,Classes,Teacher,Duration
PMT House of Dance,6:35 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3380&classDate=8/29/2023&clsLoc=1,IN PERSON: Beginner Jazz,Mica Butnar,1 hour & 30 minutes
PMT House of Dance,6:35 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3381&classDate=8/29/2023&clsLoc=1,IN PERSON: Open Popping,Jon Lock,1 hour & 30 minutes
PMT House of Dance,8:10 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3487&classDate=8/29/2023&clsLoc=1,IN PERSON: Intro to Hip Hop,Devynn Brooks,1 hour & 30 minutes
PMT House of Dance,8:10 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3383&classDate=8/29/2023&clsLoc=1,IN PERSON: Open Waacking,Giorgia Vitali,1 hour & 30 minutes
