Studio,Start time,Sign up,Classes,Instructor
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/WxREwz3Uh8ImQ5beOn5z,Beg/Adv. Beg. Hip-Hop Choreography,Jillian Roberts
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/nm7bn6BdsRi7D1CPf1mR,All Levels Litefeet,Jayy Black
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/3awb7TkkX4OdyOdPWxTC,Int./Adv. Choreography,Nycole Altchiler
Modega,9:30 PM EDT • (120 min),https://sutrapro.com/modega/checkout/IAwnxWzx0FZgYdA2qXgK,"""Every Thursday"" Open Hip-Hop Session","CJ & Darien Van Rensalier & Paco ""Hopskotch"" Valencia & 8-Legx"
Modega,9:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/zhKJwU15prnHO3Ag0y7u,Int./Adv. Choreography,Kai Lin
