Studio,Start time,,Classes,Teacher,Duration
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2358&classDate=2/28/2024&clsLoc=1,Basic,Susan Hebach,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2357&classDate=2/28/2024&clsLoc=1,Intermediate,Barbara Duffy,1 hour &15 minutes
