Studio,Start time,,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7966&classDate=12/13/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7814&classDate=12/13/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Hope Ruth,none,none,1 hour &15 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7986&classDate=12/13/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Julie Voshell,none,none,1 hour &30 minutes
Ballet Academy East,11:30 am EST,none,LIVE-STREAM Gentle Pilates,Cancelled Today,none,none,1 hour
Ballet Academy East,12:00 pm EST,none,LIVE-STREAM Intermediate Ballet,Cancelled Today,none,none,1 hour &30 minutes
Ballet Academy East,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7987&classDate=12/13/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Selina Chau,none,none,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7967&classDate=12/13/2023&clsLoc=1,LIVE-STREAM Beginner Ballet,William Waldinger,none,none,1 hour &30 minutes
