Studio,Start time,Classes,Instructor,Sign up
Modega,17:00:00,Adv Choreo,Kai Lin,https://sutrapro.com/modega/checkout/jAOZVqp5pZfvpfwgsL17
Modega,17:30:00,Strength And Flexibility Bella Body Technique,Sofia Mahdavi,https://sutrapro.com/modega/checkout/y21aKpB1YSUQSNRlGZKX
Modega,18:30:00,Adv. Beg/Int. Choreo,Unique Clay,https://sutrapro.com/modega/checkout/5VmkCi3e13o2EFS7fzRW
Modega,18:30:00,All Levels Waacking,Zenta,https://sutrapro.com/modega/checkout/9c1xDD7xfoMfTE5lPDwy
Modega,20:00:00,Beg/Adv. Beg Choreo,Edson Maldonado,https://sutrapro.com/modega/checkout/TYTQYdTQ8hwZfCWZjCSd
Modega,20:00:00,Int House,Huu Rock,https://sutrapro.com/modega/checkout/teOG3dCeWU7B9bITGv7Q
