Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,8:00 am  EDT,none,IN-STUDIO Mat Pilates Class,Phoebe Higgins,none,Studio 2,1 hour
Ballet Academy East,9:00 am  EDT,none,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,10:00 am  EDT,none,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,10:30 am  EDT,none,IN-STUDIO Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,11:00 am  EDT,none,IN-STUDIO Mat Pilates Class,Vanessa Martínez de Baños,none,Studio 2,1 hour
Ballet Academy East,11:30 am  EDT,none,IN-STUDIO Advanced Beginner Ballet,Ginger Thatcher (1),none,Studio 5,1 hour & 30 minutes
Ballet Academy East,12:00 pm  EDT,none,IN-STUDIO Intermediate Ballet,Justin Sherwood,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,12:00 pm  EDT,none,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,none,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3,1 hour & 30 minutes
Ballet Academy East,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7940&classDate=10/2/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Brigid Boden (3),none,Studio 5,1 hour & 30 minutes
Ballet Academy East,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7927&classDate=10/2/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Estelle Botella,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7941&classDate=10/2/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Anne Kelly,none,Studio 1,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7971&classDate=10/2/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Maximilien Baud,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7955&classDate=10/2/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ginger Thatcher,none,Studio 3,1 hour & 30 minutes
Ballet Academy East,7:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7917&classDate=10/2/2023&clsLoc=1,IN-STUDIO Stretch & Strengthen,Hannah Littman (5),none,Studio 5,1 hour
