Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am  EDT,none,In-Studio Beg Ballet,Sullivan,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,none,In-Studio Int/Adv Pro Ballet,Fairchild (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:00 am  EDT,none,In-Studio Adv/Int Ballet,Loh (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:45 am  EDT,none,In-Studio Adv/Beg Ballet,Sullivan,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,none,In-Studio Adv Pro Ballet,Bielski,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,none,In-Studio Int Ballet,Froman,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,none,In-Studio Adv/Int Ballet,Giljane,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:45 am  EDT,none,In-Studio Int/Adv Contemporary,Stone,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,none,In-Studio Int/Adv Contemporary Jazz,Mia DeWeese,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087907&classDate=10/2/2023&clsLoc=1,In-Studio Adv/Int Contemporary,Ainsworth,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:15 am  EDT,none,In-Studio Adv/Beg Jazz,Pollin,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,none,In-Studio Int Jazz,"Ortiz, C. (3)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,none,In-Studio Int Precision Jazz,"Morris Garcia, K.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,none,In-Studio Int Jazz,"Lee, A.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087129&classDate=10/2/2023&clsLoc=1,In-Studio Adv/Int Jazz,Harvie,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087068&classDate=10/2/2023&clsLoc=1,In-Studio Adv/Beg Jazz,"Sayampol, Plu",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087069&classDate=10/2/2023&clsLoc=1,In-Studio Int/Adv Commercial Jazz,"Williams, Jason",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,none,In-Studio Basic Graham Based Modern,Poulis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147087986&classDate=10/2/2023&clsLoc=1,In-Studio Spotlight: Adv/Int Contemporary,Chu,Steps on Broadway,2 hours
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085500&classDate=10/2/2023&clsLoc=1,In-Studio Open Hip Hop,Greene,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:15 am  EDT,none,In-Studio Gyrokinesis,Thiesing,Steps on Broadway,1 hour
Steps on Broadway,10:00 am  EDT,none,In-Studio Ballet Workout,Stephan,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm  EDT,none,In-Studio Pilates Mat,"Powell, R.",Steps on Broadway,1 hour
Steps on Broadway,1:30 pm  EDT,none,In-Studio Lastics Stretch,Torres,Steps on Broadway,1 hour
Steps on Broadway,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087980&classDate=10/2/2023&clsLoc=1,In-Studio Open Level Yoga,Conway,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm  EDT,none,In-Studio Beg Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,none,In-Studio Basic Tap,Burtis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:45 pm  EDT,none,In-Studio Adv/Beg Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:15 pm  EDT,none,In-Studio Int Tap,Burtis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:30 pm  EDT,none,In-Studio Basic Tap,Goodson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:15 pm  EDT,none,In-Studio Int Broadway Tap,Gardner,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087076&classDate=10/2/2023&clsLoc=1,In-Studio Adv/Beg Tap,Wasiuta,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:30 pm  EDT,none,In-Studio Beg Theater Jazz,Resavy,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:15 pm  EDT,none,In-Studio Int/Adv Theater Jazz,Harmon (4),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,none,In-Studio Adv/Beg Theater Jazz,Leggio,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,none,In-Studio Adv/Int Theater Jazz,Darlington (5),Steps on Broadway,1 hour & 30 minutes
