Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Mr. Vampire | Itzy Part 4,Maylin Ramos,none
ILD NJ,19:30:00,Smart | Le Sserafim Part 4,Min Seon Kim,none
