Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Love 119 | Riize Part 1,Regina Lustre,none
ILD NJ,19:30:00,Sweet Venom | Enhypen Part 1,Ness Martinez,none
