Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824720&classDate=11/7/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour & 30 minutes
Ailey Studios,6:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824767&classDate=11/7/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824714&classDate=11/7/2023&clsLoc=1,IN-STUDIO Afro-Cuban Folkloric,LA MORA,Studio 1A,1 hour & 30 minutes
Ailey Studios,7:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824726&classDate=11/7/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Christopher Jackson,Studio 2A,1 hour & 30 minutes
Ailey Studios,7:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824763&classDate=11/7/2023&clsLoc=1,IN-STUDIO Vogue Fem,Luz Theodyssey,Studio LLC,1 hour & 30 minutes
Ailey Studios,6:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824744&classDate=11/7/2023&clsLoc=1,IN-STUDIO Beginner Salsa,Baila Society,Studio LLC,1 hour
Ailey Studios,6:30 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824707&classDate=11/7/2023&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 2B,1 hour & 30 minutes
Ailey Studios,6:30 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824741&classDate=11/7/2023&clsLoc=1,IN-STUDIO Beginner Jazz,Jeffrey Bynum,Studio 5A,1 hour & 30 minutes
Ailey Studios,7:00 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824733&classDate=11/7/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour & 30 minutes
Ailey Studios,7:30 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824759&classDate=11/7/2023&clsLoc=1,IN-STUDIO Open Samba,Quenia Ribeiro,Studio 1B,1 hour & 30 minutes
