Studio,Start time,Sign up,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3561&classDate=11/7/2023&clsLoc=1,Professional Level Taylor Modern,Francisco Graciano (2),none,Szecső Szendrődy,1 hour & 30 minutes
Taylor School,6:15 pm  EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3597&classDate=11/7/2023&clsLoc=1,Adult Open Level Modern,lisa nevada,none,none,1 hour & 30 minutes
