Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826254&classDate=4/6/2024&clsLoc=1,IN-STUDIO Abs Beginner Ballet,Dawn Hillen,Studio 1C,1 hour
Ailey Studios,11:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826297&classDate=4/6/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Carlos Chavez (1),Studio 1C,1 hour
Ailey Studios,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826275&classDate=4/6/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826560&classDate=4/6/2024&clsLoc=1,IN-STUDIO Open Contemporary,Levi Marsman,Studio 2B,1 hour &30 minutes
Ailey Studios,3:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826256&classDate=4/6/2024&clsLoc=1,IN-STUDIO Adv Beg NY Style Mambo,Katherine Jimenez,Studio 5A,1 hour &30 minutes
Ailey Studios,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826459&classDate=4/6/2024&clsLoc=1,IN-STUDIO Vogue Basics,José Lapaz-Rodriguez,Studio 1A,1 hour &30 minutes
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826288&classDate=4/6/2024&clsLoc=1,IN-STUDIO Masala Bhangra,Sarina Jain,Studio 1A,1 hour
Ailey Studios,12:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826278&classDate=4/6/2024&clsLoc=1,IN-STUDIO Beginner Horton,Cheryl Rowley-Gaskins,Studio 1C,1 hour &30 minutes
Ailey Studios,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826283&classDate=4/6/2024&clsLoc=1,IN-STUDIO Beginner Limón,Becky Brown,Studio 1A,1 hour &15 minutes
Ailey Studios,3:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826252&classDate=4/6/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 1B,1 hour &30 minutes
Ailey Studios,3:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826262&classDate=4/6/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 1C,1 hour &30 minutes
