Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Christina Ryu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8338&classDate=10/20/2023&clsLoc=1
ILD Queens,18:00:00,Grl Gvng | Xg Part 3,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8490&classDate=10/20/2023&clsLoc=1
ILD Queens,19:30:00,Back For More | Txt Part 3,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8503&classDate=10/20/2023&clsLoc=1
