Studio,Time,Classes,Instructor,Sign up,Date,Style
Steps,09:00:00,Open Level Yoga,Conway,none,2024-01-26,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,none,2024-01-26,Ballet
Mark Morris,09:00:00,Open Level Pilates,Andrea *Murillo,none,2024-01-26,Additional Disciplines
BDC,09:00:00,Adv Beg Hip-Hop,Paolo Slice Penala,none,2024-01-26,Street/Choreography
BDC,09:00:00,Adv Beg Lyrical,Emily Bufferd,none,2024-01-26,Contemporary/Modern
BDC,09:15:00,Stretch & Strengthen,Alyssa Click,none,2024-01-26,Additional Disciplines
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2024-01-26,Ballet
Steps,09:30:00,Beg Ballet,Kemezis,none,2024-01-26,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Hawk,none,2024-01-26,Ballet
Gibney,10:00:00,Contemp,Madi Hicks,none,2024-01-26,Contemporary/Modern
BAE,10:00:00,Intro To Ballet,Marsha Knight,none,2024-01-26,Ballet
Steps,10:00:00,Ballet Workout,Stephan,none,2024-01-26,Ballet
Peridance,10:00:00,Int Contemp,Guanglei Hui,none,2024-01-26,Contemporary/Modern
Mark Morris,10:00:00,Adv Ballet,Caitlin *Scranton (10),none,2024-01-26,Ballet
Peridance,10:00:00,Adv Ballet,Nick Korkos (1),none,2024-01-26,Ballet
Steps,10:00:00,Adv/Int Ballet,Loh,none,2024-01-26,Ballet
BAE,10:00:00,Mat Pilates Class,Ashley Carter,none,2024-01-26,Additional Disciplines
Taylor School,10:00:00,Master Class Series,Yoshito Sakuraba (5),none,2024-01-26,Contemporary/Modern
Gibney,10:00:00,Gaga/People At 280,Doron Perk,none,2024-01-26,Contemporary/Modern
Gibney,10:00:00,Klein Technique Dance/Movement Class At 280,Barbara Mahler,none,2024-01-26,Additional Disciplines
Gibney,10:00:00,Ballet At 890,Cherylyn Lavagnino,none,2024-01-26,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Cori Kresge *Cunningham  (11),none,2024-01-26,Contemporary/Modern
BDC,10:30:00,Int Contemp,Canceled Today,none,2024-01-26,Contemporary/Modern
Peridance,10:30:00,Open Zena Rommett Floor-Barre,LuAnn Leonard,none,2024-01-26,Ballet
BDC,10:30:00,Beg Hip-Hop,AntBoogie,none,2024-01-26,Street/Choreography
BDC,10:30:00,Basic Theater,Adam Wedesky,none,2024-01-26,Theater
BDC,10:30:00,Adv Beg Tap,Madison Hilligoss,none,2024-01-26,Tap
BDC,10:30:00,Beg Ballet,Michele Moreno,none,2024-01-26,Ballet
Steps,11:00:00,Int Contemp,"Edward, C.",none,2024-01-26,Contemporary/Modern
BDC,11:00:00,Ed Dept Vocal,ProSem Master,none,2024-01-26,Additional Disciplines
Steps,11:00:00,Adv/Beg Broadway Tap,Black,none,2024-01-26,Tap
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,none,2024-01-26,Ballet
Steps,11:15:00,Adv/Beg Contemp Modern,"Reed, B.",none,2024-01-26,Contemporary/Modern
BAE,11:30:00,Int Ballet,Elizabeth Walker,none,2024-01-26,Ballet
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,none,2024-01-26,Ballet
BAE,11:30:00,Basic Beg Ballet,Shirley Bassat,none,2024-01-26,Ballet
Peridance,11:30:00,Int Contemp Release,Wesley Ensminger,none,2024-01-26,Contemporary/Modern
Steps,11:30:00,Adv Pro Ballet,Bielski,none,2024-01-26,Ballet
Peridance,11:30:00,Beg House,Huu Rock,none,2024-01-26,Street/Choreography
Steps,11:45:00,Adv/Int Ballet,Kunikova,none,2024-01-26,Ballet
BDC,12:00:00,Basic Tap,Jill Kenney,none,2024-01-26,Tap
Gibney,12:00:00,Contemp/Modern,Oliver Steele,none,2024-01-26,Contemporary/Modern
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,none,2024-01-26,Contemporary/Modern
BDC,12:00:00,Beg Jazz Funk,Chio,none,2024-01-26,Street/Choreography
BDC,12:00:00,Adv Beg Theater,Amanda LaMotte,none,2024-01-26,Theater
Mark Morris,12:00:00,Beg/Int Broadway Jazz,Avital Asuleen,none,2024-01-26,Theater
Steps,12:00:00,Pilates Mat,Shapiro (4),none,2024-01-26,Additional Disciplines
BDC,12:00:00,Ed Dept Vocal,ProSem Master,none,2024-01-26,Additional Disciplines
Peridance,12:00:00,Open Yoga,Sarah Iguchi,none,2024-01-26,Additional Disciplines
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none,2024-01-26,Ballet
Steps,12:30:00,Beg/Int Jazz,Leggio,none,2024-01-26,Jazz
Steps,12:45:00,Int Broadway Tap,Black,none,2024-01-26,Tap
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,none,2024-01-26,Ballet
Peridance,13:00:00,Beg Waacking,Princess Lockerooo,none,2024-01-26,Street/Choreography
Peridance,13:00:00,Int Graham,Caterina Rago,none,2024-01-26,Contemporary/Modern
Steps,13:00:00,Int Theater Dance,Darlington (5),none,2024-01-26,Theater
Peridance,13:00:00,Open Gyrokinesis,Naoko Moriyama-Robbins,none,2024-01-26,Additional Disciplines
Peridance,13:00:00,Adv Contemp,Elisabetta Minutoli,none,2024-01-26,Contemporary/Modern
Steps,13:15:00,Adv/Int Theater Jazz,"Sullivan, S.",none,2024-01-26,Theater
BDC,13:30:00,Beg Contemp,Michaela McGowan,none,2024-01-26,Contemporary/Modern
Steps,13:30:00,Lastics Stretch,Torres,none,2024-01-26,Additional Disciplines
BDC,13:30:00,Basic Ballet,Joy Karley,none,2024-01-26,Ballet
BDC,13:30:00,Adv Beg Jazz,Sheila Barker,none,2024-01-26,Jazz
