Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,none
ILD Queens,18:00:00,New Jeans | Newjeans Part 3,Eunice Shin,none
ILD Queens,19:30:00,Iac | Viviz Part 4,Maylin Ramos,none
