Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,"9:00 am  EDT
    LIVE STREAM",none,(Online) Open Level Pilates,Calvin A. Rollins II (7),none,none,1 hour
Mark Morris Dance,"12:00 pm  EDT
    LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=4947&classDate=10/13/2023&clsLoc=1,(Online) Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,"7:00 pm  EDT
    LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=3520&classDate=10/13/2023&clsLoc=1,(Online) Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour & 30 minutes
