BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,none,2024-01-05,Ballet
Steps,09:30:00,Beg Ballet,Kemezis,none,2024-01-05,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2024-01-05,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,"Kaufman, L. (1)",none,2024-01-05,Ballet
Steps,10:00:00,Adv/Int Ballet,Loh,none,2024-01-05,Ballet
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,none,2024-01-05,Ballet
Gibney,10:00:00,Ballet,Nina Goldman,none,2024-01-05,Ballet
Peridance,10:00:00,Adv Ballet,Nick Korkos (1),none,2024-01-05,Ballet
Steps,10:00:00,Ballet Workout,Stephan,none,2024-01-05,Ballet
BAE,10:00:00,Intro To Ballet,Ginger Thatcher (10),none,2024-01-05,Ballet
Peridance,10:30:00,Open Zena Rommett Floor-Barre,LuAnn Leonard,none,2024-01-05,Ballet
BDC,10:30:00,Beg Ballet,June Chin (2),none,2024-01-05,Ballet
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,none,2024-01-05,Ballet
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,none,2024-01-05,Ballet
Steps,11:30:00,Adv Pro Ballet,Bielski,none,2024-01-05,Ballet
BAE,11:30:00,Int Ballet,Elizabeth Walker,none,2024-01-05,Ballet
BAE,11:30:00,Basic Beg Ballet,Shirley Bassat,none,2024-01-05,Ballet
Steps,11:45:00,Adv/Int Ballet,Kunikova,none,2024-01-05,Ballet
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none,2024-01-05,Ballet
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,none,2024-01-05,Ballet
BDC,13:30:00,Basic Ballet,Joy Karley,none,2024-01-05,Ballet
Steps,14:30:00,Int Ballet,Froman,none,2024-01-05,Ballet
Ballet Arts,15:00:00,Adv Beg Ballet,Noriko Hara,none,2024-01-05,Ballet
BDC,15:00:00,Int Ballet,Kate Loh,none,2024-01-05,Ballet
Ballet Arts,16:30:00,Pointe Class 1 Hour,Noriko Hara,none,2024-01-05,Ballet
BDC,16:30:00,Beg Ballet,Dorit Koppel,none,2024-01-05,Ballet
Steps,17:00:00,Adv/Int Ballet,Averty,none,2024-01-05,Ballet
Ailey,18:00:00,Abs Beg Ballet,Ronald Alexander,none,2024-01-05,Ballet
BAE,18:15:00,Int Ballet,Sean Kelly,none,2024-01-05,Ballet
Steps,18:45:00,Beg/Int Ballet,Hara,none,2024-01-05,Ballet
Ailey,19:00:00,Adv Beg Ballet,Mikhail Ilyin,none,2024-01-05,Ballet
Ballet Arts,19:00:00,Beg Ballet,Kenny Larson,none,2024-01-05,Ballet
BAE,19:30:00,Basic Beg Ballet,Hope Ruth,none,2024-01-05,Ballet
BAE,19:30:00,Adv Beg Ballet,Julie Voshell,none,2024-01-05,Ballet
BAE,19:45:00,Intro To Ballet,Sean Kelly,none,2024-01-05,Ballet
