Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3562&classDate=12/13/2023&clsLoc=1,Professional Level Taylor Modern,John Harnage (3),none,Jakub Wala,1 hour &30 minutes
Taylor School,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3596&classDate=12/13/2023&clsLoc=1,Adult Open Level Modern,Joao Carvalho,none,none,1 hour &30 minutes
