Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,none,Ed Dept PARTNERING with Talia Castro-Pozo,ITP Master Class,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18157&classDate=12/13/2023&clsLoc=1,IN-PERSON: Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18290&classDate=12/13/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Dre Torres,Dre Torres,Studio B,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18700&classDate=12/13/2023&clsLoc=1,IN-PERSON: Int BALLET with Deanna Doyle,Deanna Doyle,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18687&classDate=12/13/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18681&classDate=12/13/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Ian Klein,Ian Klein,Studio 2,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18221&classDate=12/13/2023&clsLoc=1,IN-PERSON: Beg THEATER TAP with Doug Shankman,Mike Camire (1),Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18719&classDate=12/13/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Geheny Rivera,Geheny Rivera,Studio 2,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18725&classDate=12/13/2023&clsLoc=1,IN-PERSON: Beg JUMPS AND TURNS with Eric Campros,Ashley Lynne King (2),Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18888&classDate=12/13/2023&clsLoc=1,IN-PERSON: Int THEATER with Tanner Lane,Tanner Lane,Studio 3,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18179&classDate=12/13/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Brent McBeth,Brent McBeth,Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18892&classDate=12/13/2023&clsLoc=1,IN-PERSON: Int STREET JAZZ with Bo Park,Bo Park,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18544&classDate=12/13/2023&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with AntBoogie,AntBoogie,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18630&classDate=12/13/2023&clsLoc=1,IN-PERSON: All Levels RESTORATIVE MEDITATION with Sarah Simon Wolff,Sarah Simon Wolff,Studio 2,1 hour &15 minutes
