Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Adv Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18329&classDate=9/15/2023&clsLoc=1,2023-09-15,Street/Choreography
Mark Morris,09:00:00,Open Level Pilates,Ellie Kusner,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5536&classDate=9/15/2023&clsLoc=1,2023-09-15,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7851&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
BDC,09:00:00,Basic Ballet,Ted Keener,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18370&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
BDC,09:15:00,Stretch & Strengthen,Alyssa Click,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18212&classDate=9/15/2023&clsLoc=1,2023-09-15,Additional Disciplines
Steps,09:30:00,Beg Ballet,Kemezis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086214&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2375&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Fairchild (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087010&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
Peridance,10:00:00,Adv Ballet,Igal Perry,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
Gibney,10:00:00,Gaga/People At 280,Kyle Scheurich,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12676&classDate=9/15/2023&clsLoc=1,2023-09-15,Contemporary/Modern
Gibney,10:00:00,Ballet,Nina Goldman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12894&classDate=9/15/2023&clsLoc=1,2023-09-15,Ballet
