Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,8:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7861&classDate=9/11/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Phoebe Higgins,none,Studio 2,1 hour
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7843&classDate=9/11/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,9:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7885&classDate=9/11/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,9:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7833&classDate=9/11/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Sean Kelly (1),none,Studio 3,1 hour & 30 minutes
Ballet Academy East,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7887&classDate=9/11/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Sean Kelly (2),none,Studio 2,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7871&classDate=9/11/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3,1 hour & 30 minutes
Ballet Academy East,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7844&classDate=9/11/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Ashley Talluto,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7823&classDate=9/11/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Sean Kelly (3),none,Studio 1,1 hour & 30 minutes
Ballet Academy East,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7798&classDate=9/11/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Estelle Botella,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7834&classDate=9/11/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ginger Thatcher,none,Studio 3,1 hour & 30 minutes
