Studio,Start time,Classes,Instructor,Length
PJM LIC,6:30 pm,Adv Beg Choreography,Tomo,1 hr 30 min
PJM LIC,8:00 pm,Adv Beg Commercial Jazz,Shota Sekiguchi,1 hr 30 min
