Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4026&classDate=8/28/2023&clsLoc=1,Afro-Haitian Dance [Beg. Level],Julio Jean,1 hour & 30 minutes
Cumbe Dance Center,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4036&classDate=8/28/2023&clsLoc=1,ASA! Fitness w/ Jerijah [All Levels],Jerijah West,1 hour & 15 minutes
Cumbe Dance Center,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4027&classDate=8/28/2023&clsLoc=1,Guinean - West African Dance [All Levels],Mouminatou Camara,1 hour & 30 minutes
