Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12838&classDate=9/24/2023&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio U,1 hour & 45 minutes
Gibney,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12835&classDate=9/24/2023&clsLoc=1,Contemporary/Simonson with Diane McCarthy at 280,Diane McCarthy,Gibney 280: Studio C,2 hours
Gibney,12:00 pm  EDT,none,Floorwork Basics with Dava Huesca at 280,Cancelled Today,none,1 hour & 45 minutes
