Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8157&classDate=8/19/2023&clsLoc=1,In-StudioM: Super Shy | NewJeans (Part 3),Winnie Chung,Manhattan,1 hour & 20 minutes
ILoveDance,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8147&classDate=8/19/2023&clsLoc=1,In-StudioM: ETA | NewJeans (Part 3),MJ Choi,Manhattan,1 hour & 20 minutes
ILoveDance,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8186&classDate=8/19/2023&clsLoc=1,In-StudioM: Seven | Jung Kook (Part 3),Ying Dong,Manhattan,1 hour & 20 minutes
ILoveDance,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8166&classDate=8/19/2023&clsLoc=1,In-StudioM: Shhh | KISS OF LIFE (Part 3),Maylin Ramos,Manhattan,1 hour & 20 minutes
