Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19286&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Studio 5,1 hour &30 minutes
Broadway Dance Center,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18850&classDate=4/26/2024&clsLoc=1,IN-PERSON: All Levels YOGA FLOW: STRETCH & STRENGTHEN with Alyssa Click,Alyssa Click,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18666&classDate=4/26/2024&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,June Chin (3),Studio 4,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19328&classDate=4/26/2024&clsLoc=1,IN-PERSON: Int PRECISION JAZZ with Katie Walker,Katie Walker,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18689&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,June Chin (5),Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19263&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Amanda LaMotte,Amanda LaMotte,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19190&classDate=4/26/2024&clsLoc=1,IN-PERSON: Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19211&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg JAZZ with Sheila Barker,Sheila Barker,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18797&classDate=4/26/2024&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Michaela McGowan,Michaela McGowan,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18115&classDate=4/26/2024&clsLoc=1,IN-PERSON: Int TAP with Jill Kenney,Danielle Jackman (8),Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19453&classDate=4/26/2024&clsLoc=1,IN-PERSON: Basic THEATER with Brandon Kelly,Daniel Booda (9),Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19229&classDate=4/26/2024&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Eric Campros,Blue (10),Studio 4,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18856&classDate=4/26/2024&clsLoc=1,IN-PERSON: Int BALLET with Kate Loh,Kate Loh,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18361&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Rashaan James II,Rashaan James II,Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19237&classDate=4/26/2024&clsLoc=1,IN-PERSON: Int Adv STREET JAZZ with Neil Schwartz,Neil Schwartz,Studio 5,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19173&classDate=4/26/2024&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUSION with Michelle Barber,Michelle Barber,Studio 1,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19271&classDate=4/26/2024&clsLoc=1,IN-PERSON: Basic JUMPS AND TURNS with Stacie Webster,Stacie Webster,Studio A,1 hour &30 minutes
