Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4pm,Beginner Contemporary Fusion ,unavailable, Yurie
Gramercy Studios,5:30pm,Intermediate Lyrical R&B ,unavailable, Hunter
Gramercy Studios,7pm,Beginner Breaking ,unavailable, Cuong
Gramercy Studios,8:30pm,Adv. Beginner Hip Hop ,unavailable, Shoshana
