Studio,Start time,,Classes,Teacher,Duration
Hive NJ,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2367&classDate=2/2/2024&clsLoc=1,Wannabes Workshop Beg/Int (Donation Based),Raiha Kanwal,1 hour &15 minutes
Hive NJ,8:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2368&classDate=2/2/2024&clsLoc=1,Wannabes Workshop Advanced (Donation Based),Kevin Lee,1 hour &15 minutes
