Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8965&classDate=2/2/2024&clsLoc=1,In-StudioM: BORN TO BE | ITZY (Part 5),Winnie Chung,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8974&classDate=2/2/2024&clsLoc=1,In-StudioM: Crazy Form | ATEEZ (Part 5),Fernando Farias,Manhattan,1 hour &20 minutes
