Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=9484&classDate=4/4/2024&clsLoc=1,Online: EENIE MEENIE | CHUNG HA (Part 1),Winnie Chung,none,1 hour &20 minutes
ILoveDance,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=9424&classDate=4/4/2024&clsLoc=1,Online: TAP | TAEYONG (Part 1),Ying Dong,none,1 hour &20 minutes
