Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6672&classDate=2/29/2024&clsLoc=1,Open Ballet,Kathy Sullivan,none,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=2/29/2024&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Michael Dolnikov,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=7193&classDate=2/29/2024&clsLoc=1,Adv Contemporary | GUEST CLASS,Akira Uchida,none,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=7182&classDate=2/29/2024&clsLoc=1,Inter Graham,Antonio Leone (1),none,none,Peridance Center,1 hour &30 minutes
Peridance,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6673&classDate=2/29/2024&clsLoc=1,Open Pointe,Kathy Sullivan,none,none,Peridance Center,30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5526&classDate=2/29/2024&clsLoc=1,Adv Contemporary,Chris Ralph,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6722&classDate=2/29/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=2/29/2024&clsLoc=1,Open Yoga,Marisa Martin,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=2/29/2024&clsLoc=1,Adv Contemporary,Max Stone,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6186&classDate=2/29/2024&clsLoc=1,Inter Ballet,Kate Loh,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6787&classDate=2/29/2024&clsLoc=1,Adv Contemporary,Alex Swader (2),none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=2/29/2024&clsLoc=1,Inter Choreography,Tomoko Ishikawa,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7080&classDate=2/29/2024&clsLoc=1,Inter Contemporary,Assaf Salhov,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7260&classDate=2/29/2024&clsLoc=1,Open Hip Hop Technique and Transitions | MOPTOP,Buddha Stretch,none,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=2/29/2024&clsLoc=1,Open Ballet/Pointe,Dianna Warren,none,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=2/29/2024&clsLoc=1,Open House,Sekou Heru,none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=2/29/2024&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6813&classDate=2/29/2024&clsLoc=1,Inter Hip Hop,"Tomoe ""Beasty"" Carr",none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7038&classDate=2/29/2024&clsLoc=1,Beg Foundations of Choreography,Masumi Kambayashi,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6830&classDate=2/29/2024&clsLoc=1,Inter Ballet,Greg Zane,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6691&classDate=2/29/2024&clsLoc=1,Beg Contemporary Jazz,Jeffrey Gugliotti,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7114&classDate=2/29/2024&clsLoc=1,Beg House,"Tomoe ""Beasty"" Carr (3)",none,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6748&classDate=2/29/2024&clsLoc=1,Inter Hip Hop,Dr. Ew,none,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6719&classDate=2/29/2024&clsLoc=1,Open Old Way Vogue,Paris Hairston (4),none,none,Peridance Center,1 hour &30 minutes
