Studio,Start time,,Classes,Teacher,Duration
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2172&classDate=2/29/2024&clsLoc=1,Advanced Beginner,Felipe Galganni (1),1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2361&classDate=2/29/2024&clsLoc=1,Beginner,Susan Hebach,1 hour &15 minutes
