Studio,Start time,Classes,Link,Instructor
Gramercy Studios,5:30pm,Open Level Twerk ,unavailable, Justin
Gramercy Studios,7pm,open level street jazz ,unavailable, nat
Gramercy Studios,8:30pm,intermediate/adv jazz funk ,unavailable, Carmelo
